Latitude,Longitude,Stop Name,Stop Status
40.683509,-73.979021,N/A,N/A
40.634034,-74.026744,3 AV/72 ST,at stop
40.637204,-74.025446,3 AV/SENATOR ST,at stop
40.646296,-74.016298,3 AV/54 ST,approaching
40.646564,-74.016018,3 AV/54 ST,approaching
40.670754,-73.991609,3 AV/12 ST,< 1 stop away
